votereg,CC20_410,immstat,gender,birthyr,presvote16post
1,2,4,1,1966,2
2,NA,5,2,1955,7
1,1,3,2,1946,7
1,1,5,2,1962,1
1,4,5,1,1967,3
1,2,5,1,1961,2
2,NA,5,1,1950,7
1,2,4,2,1947,2
1,2,5,2,1970,2
1,1,4,2,1963,1
1,1,5,2,1966,1
1,1,5,2,1961,1
1,1,5,1,1959,1
1,1,5,2,1959,1
1,2,4,1,1960,2
1,2,5,1,1961,7
1,2,5,2,1950,2
1,1,5,1,1946,1
1,1,5,2,1963,1
1,1,5,1,1984,6
1,1,5,2,1984,7
1,2,5,2,1972,7
1,1,5,2,1948,7
1,1,4,2,1950,1
1,1,5,2,1934,1
2,NA,4,2,1971,7
1,NA,5,2,1957,2
1,1,5,2,1978,1
1,2,5,2,1964,2
2,NA,5,1,1946,7
1,2,5,1,1948,2
1,1,3,1,1954,2
2,NA,5,2,1987,7
1,1,4,2,1963,1
1,2,4,1,1946,2
1,2,5,2,1950,2
2,NA,NA,2,1981,7
1,1,5,2,1971,1
1,2,4,1,1959,2
1,1,5,2,1965,1
1,2,4,1,1963,2
1,1,5,2,1953,1
1,2,5,2,1987,2
1,4,5,2,1953,2
1,2,5,1,1948,2
1,4,5,2,1973,6
1,1,5,2,1951,1
1,1,5,2,1959,1
1,1,5,2,1953,1
1,1,5,2,1958,1
1,2,5,2,1954,2
1,4,5,1,1967,3
1,2,4,1,1945,2
1,1,4,2,1956,1
1,2,5,1,1970,2
1,NA,5,1,1985,5
1,1,5,2,1967,1
1,2,5,2,1986,7
1,NA,5,2,1993,7
1,1,4,1,1951,1
1,2,1,1,1971,7
2,NA,5,2,1968,7
1,NA,3,2,1983,7
1,1,5,2,1954,7
1,1,5,2,1958,7
1,1,5,2,1959,1
1,2,4,2,1963,2
1,1,5,2,1943,1
1,2,5,1,1966,2
1,NA,5,1,1986,2
1,4,5,1,1986,1
1,1,5,1,1994,4
1,2,5,1,1966,2
1,1,5,2,1996,1
1,2,4,2,1963,2
1,2,5,2,1955,2
1,2,5,2,1978,2
1,1,5,2,1950,1
1,2,1,2,1965,2
1,2,5,2,1958,2
1,1,1,1,1955,1
1,NA,4,1,1988,7
1,NA,5,1,1990,2
1,2,4,2,1952,2
1,NA,3,1,1994,7
1,1,4,1,1958,7
1,4,1,2,1944,2
1,1,4,2,1947,1
1,1,5,1,1964,1
1,2,4,1,1953,2
1,2,5,2,1948,2
1,4,5,2,1987,4
1,2,5,2,1961,7
1,1,5,2,1941,1
1,2,5,1,1964,7
1,1,3,1,1993,1
1,1,3,2,1950,1
1,1,5,2,1966,1
1,2,4,2,1965,2
1,2,3,2,1993,7
1,1,5,2,1945,1
1,NA,5,1,1956,7
1,2,5,2,1957,7
1,1,5,2,1957,7
1,2,5,2,1938,2
3,NA,5,1,1952,7
1,2,4,1,1956,2
1,1,5,1,1964,1
1,1,3,2,1950,1
1,2,4,1,1958,2
1,NA,3,1,1997,7
1,1,5,2,1957,1
2,NA,5,2,1982,7
1,1,1,1,1986,1
1,2,3,1,1948,2
1,2,5,1,1982,2
1,2,5,1,1958,2
1,1,4,1,1951,1
1,1,5,2,1964,1
1,1,5,2,1954,1
1,2,5,1,1971,2
1,1,5,2,1989,1
1,2,5,2,1960,7
1,1,4,2,1960,1
1,2,5,2,1965,2
1,1,4,2,1958,1
1,1,5,2,1987,7
1,2,5,1,1957,2
1,1,5,2,1965,1
1,1,5,1,1961,1
1,1,3,2,1946,1
1,1,5,1,1941,1
1,2,1,2,1940,2
1,1,4,1,1951,2
1,2,5,2,1953,2
1,1,5,1,1985,1
1,2,5,2,1957,2
1,1,5,1,1964,1
1,2,4,2,1958,2
1,1,4,2,1957,1
1,2,3,2,1954,2
1,2,5,1,1990,1
1,1,4,1,1941,1
1,1,4,1,1954,1
1,2,4,1,1953,2
1,2,5,1,1948,2
1,1,5,1,1948,1
1,1,3,2,1966,1
1,1,4,2,1946,1
1,2,5,1,1954,2
1,2,4,1,1979,6
1,1,5,2,1944,2
1,1,5,2,1960,2
1,1,5,2,1959,1
1,2,5,2,1944,2
1,1,4,1,1948,1
1,1,4,2,1947,1
1,2,5,2,1952,1
1,1,1,2,1986,1
1,1,5,1,1951,1
1,2,1,2,1936,2
1,2,5,2,1964,3
1,1,4,1,1946,1
1,2,5,1,1947,2
1,1,5,2,1945,1
1,1,1,1,1950,7
1,1,1,1,1943,1
1,2,5,1,1951,2
1,2,4,2,1958,2
1,1,5,1,1958,1
1,1,5,2,1962,1
1,2,5,2,1945,1
1,1,5,2,1943,1
1,1,5,2,1940,1
1,1,5,2,1963,1
1,2,5,2,1951,2
1,1,5,2,1954,1
1,1,4,2,1943,1
1,1,5,1,1952,1
1,1,5,1,1952,1
1,1,4,2,1948,1
1,1,4,2,1952,4
1,1,5,1,1952,1
1,2,5,2,1959,6
2,NA,5,2,1968,7
1,1,5,2,1945,1
1,1,4,2,1949,1
2,NA,5,1,1943,7
1,2,3,1,1949,2
1,1,4,1,1936,1
1,1,5,2,1947,1
1,1,4,2,1949,4
1,1,5,1,1943,1
2,NA,2,2,1954,7
1,1,1,2,1967,1
1,NA,5,2,1942,1
1,2,5,1,1943,2
1,2,4,2,1955,2
1,2,4,1,1946,2
1,1,5,2,1957,1
1,1,5,1,1953,1
1,1,3,2,1951,1
1,1,5,2,1959,1
1,2,3,2,1945,2
1,1,5,1,1956,7
1,1,4,2,1960,7
1,NA,4,2,1954,2
1,1,5,1,1951,1
1,1,5,2,1948,2
1,2,4,1,1949,2
1,1,5,1,1944,1
1,2,5,1,1943,2
1,1,4,2,1930,1
2,NA,2,2,1985,7
1,NA,5,1,1954,3
1,1,3,1,1932,1
1,2,4,1,1968,2
1,1,3,1,1968,1
1,1,4,1,1944,1
1,1,4,2,1952,1
1,1,5,1,1973,3
1,2,5,2,1958,2
1,1,3,1,1953,1
1,2,4,2,1956,2
1,2,5,1,1946,2
1,2,5,1,1980,2
1,4,4,2,1969,7
1,1,5,1,1939,1
1,2,5,2,1954,2
1,2,5,2,1961,2
1,1,4,2,1947,1
1,2,5,1,1963,2
1,1,5,1,1947,1
1,2,4,1,1948,7
1,4,5,2,1971,2
1,2,5,1,1954,2
1,1,5,2,1955,1
1,NA,1,1,1965,7
1,2,3,1,1953,2
1,1,4,2,1937,1
1,1,4,1,1953,1
1,1,5,1,1952,1
1,2,4,2,1938,2
1,2,5,1,1941,2
2,NA,1,2,1968,7
1,1,4,2,1955,1
1,2,4,1,1952,2
1,1,5,1,1949,1
1,1,5,2,1959,1
1,2,5,2,1975,2
1,2,4,2,1960,2
1,2,4,1,1954,2
2,NA,4,2,1958,7
1,1,4,2,1950,1
1,1,3,1,1947,1
1,2,4,1,1946,2
1,1,3,2,1961,1
1,1,1,1,1946,1
1,2,5,1,1933,2
1,1,4,2,1951,1
1,1,3,1,1948,1
1,1,5,1,1957,1
1,4,3,1,1957,4
1,2,4,1,1946,3
1,2,4,2,1970,2
1,1,5,2,1963,4
1,1,4,2,1959,1
1,NA,1,1,1988,1
1,2,5,2,1951,2
1,2,4,1,1947,2
1,4,5,1,1954,3
1,2,4,1,1942,2
1,2,4,2,1947,2
1,1,5,2,1962,1
1,4,3,2,1950,4
1,1,3,1,1945,1
1,2,5,1,1968,2
1,2,5,2,1955,2
1,2,5,1,1951,7
1,2,5,1,1954,3
1,1,1,2,1958,1
1,2,5,2,1945,2
1,1,5,1,1952,1
1,4,1,1,1936,2
1,1,5,2,1962,1
1,2,4,1,1962,2
1,2,4,1,1955,7
1,2,4,1,1941,2
1,2,5,2,1957,2
1,1,1,1,1973,1
1,2,5,2,1955,2
1,2,4,1,1955,2
1,1,5,2,1974,1
1,1,3,2,1950,1
1,1,4,2,1961,1
1,2,5,1,1961,7
1,1,5,1,1988,1
1,1,5,1,1950,1
1,1,4,2,1989,1
1,1,5,2,1951,2
1,2,3,1,1946,2
1,1,5,2,1974,1
1,1,5,2,1954,1
1,1,3,2,1950,1
1,1,5,2,1958,1
1,2,5,1,1962,7
1,1,4,1,1953,1
1,1,5,2,1972,1
1,2,5,1,1981,2
1,2,5,2,1955,1
1,1,5,2,1948,1
1,1,5,2,1986,1
1,1,5,2,1960,1
1,NA,4,2,1989,1
1,1,1,1,1972,2
1,2,4,2,1959,2
1,1,5,2,1959,1
1,1,1,1,1970,1
1,1,5,1,1957,4
1,2,3,1,1954,2
1,1,4,2,1970,1
1,1,5,2,1950,1
1,1,5,2,1963,1
1,2,5,1,1947,2
1,1,5,2,1991,1
1,2,4,1,1967,2
1,2,5,1,1949,2
1,2,5,2,1948,2
1,1,4,1,1955,1
1,1,5,1,1939,1
1,2,5,1,1955,2
1,2,4,2,1955,2
1,2,5,2,1957,2
1,2,5,1,1961,2
1,2,3,1,1964,2
1,1,5,2,1976,1
1,1,5,2,1968,1
1,1,5,2,1943,3
1,1,5,1,1948,1
1,1,3,2,1986,7
1,1,5,1,1959,3
1,2,5,1,1966,6
1,1,5,1,1965,1
1,2,5,2,1979,2
1,1,3,2,1959,2
1,1,5,2,1966,1
1,1,5,1,1987,1
1,1,5,2,1965,1
1,4,5,2,1975,3
1,2,5,2,1968,2
1,1,4,2,1965,1
1,1,5,1,1972,1
1,2,4,1,1951,2
1,1,4,2,1962,6
1,2,3,2,1954,2
1,2,4,1,1959,7
1,2,5,2,1949,2
3,NA,4,2,1957,7
1,1,5,2,1960,1
1,1,5,1,1941,6
1,1,4,1,1994,1
1,2,5,1,1943,2
1,2,5,2,1969,2
1,NA,5,1,1962,1
1,2,5,1,1946,2
1,1,4,2,1960,1
1,2,4,2,1960,2
1,1,4,2,1943,1
1,1,5,2,1986,1
1,1,5,1,1969,1
1,2,4,2,1943,2
1,2,5,1,1954,2
1,2,5,1,1938,2
1,1,5,1,1976,1
1,1,4,1,1947,1
1,2,4,1,1953,2
1,1,4,2,1948,7
1,1,5,2,1945,1
1,1,5,1,1972,1
1,1,4,1,1952,1
1,1,5,2,1956,4
1,1,5,2,1961,1
1,1,5,1,1937,1
1,1,5,2,1968,1
1,1,1,1,1984,7
1,2,5,2,1958,1
1,2,5,2,1948,2
1,2,5,1,1959,5
1,1,4,2,1978,7
1,2,5,1,1952,2
1,1,5,1,1956,1
1,NA,1,2,1947,2
2,NA,5,1,1945,7
2,NA,5,2,1953,7
1,2,4,2,1962,6
1,1,3,2,1966,1
1,2,4,2,1954,2
1,2,5,2,1956,2
1,2,5,2,1987,7
1,NA,5,2,1985,7
1,1,4,2,1984,4
1,2,5,1,1969,2
2,NA,2,1,1955,7
1,1,5,2,1938,1
1,1,3,2,1972,1
1,1,5,2,1971,1
1,1,5,2,1949,6
1,1,4,1,1958,1
1,2,5,1,1969,1
1,1,4,1,1961,2
1,1,5,2,1982,1
1,4,1,1,1975,3
1,2,4,1,1955,2
1,1,5,2,1957,1
1,NA,4,1,1973,7
1,2,5,2,1957,2
1,2,5,2,1968,2
1,1,5,2,1956,1
1,2,5,1,1938,2
1,1,4,2,1965,1
1,1,5,2,1959,1
1,2,5,2,1942,2
1,2,5,2,1981,2
1,1,5,2,1958,1
1,1,5,1,1956,1
1,1,5,1,1958,1
1,1,5,2,1959,1
1,1,3,2,1954,1
1,1,5,2,1978,1
1,2,4,1,1978,2
1,1,5,1,1953,1
1,1,5,2,1972,1
2,NA,2,2,1986,7
1,4,3,1,1952,1
1,1,5,2,1969,1
1,1,5,2,1982,1
1,2,5,2,1985,3
1,1,5,2,1952,1
1,2,5,1,1953,2
1,2,5,1,1944,2
